"bic_de","name","zip","city","code","bic","country:id"
"65300000","Bundesbank eh Albstadt","72711","Reutlingen","BBk Reutlingen eh Albstadt","MARKDEF1653","base.de"
"65310111","SEB","72764","Reutlingen","SEB Reutlingen","ESSEDE51654","base.de"
"65310111","SEB","78054","Villingen-Schwenningen","SEB Villing-Schwenningen","ESSEDE51655","base.de"
"65310111","SEB","72458","Albstadt, Württ","SEB Albstadt","ESSEDE5F653","base.de"
"65340004","Commerzbank","72482","Sigmaringen","Commerzbank Sigmaringen","COBADEFF652","base.de"
"65340004","Commerzbank","72426","Albstadt, Württ","Commerzbank Albstadt","COBADEFF653","base.de"
"65341204","Commerzbank","72302","Balingen","Commerzbank Balingen","COBADEFF655","base.de"
"65350186","Baden-Württemb.Bank/Landesbank Baden-Württemb.","72458","Albstadt, Württ","BW-Bank/LBBW Albstadt","SOLADEST476","base.de"
"65351050","Hohenz Landesbank Kreissparkasse Sigmaringen","72484","Sigmaringen","Ld Bk Kr Spk Sigmaringen","SOLADES1SIG","base.de"
"65351260","Sparkasse Zollernalb","72334","Balingen","Spk Zollernalb","SOLADES1BAL","base.de"
"65361469","Volksbank Heuberg","72466","Meßstetten","Volksbank Heuberg","GENODES1HBM","base.de"
"65361898","Winterlinger Bank","72470","Winterlingen","Winterlinger Bank","GENODES1WLB","base.de"
"65361989","Onstmettinger Bank","72445","Albstadt, Württ","Onstmettinger Bank","GENODES1ONS","base.de"
"65362499","Raiffeisenbank Geislingen-Rosenfeld","72349","Geislingen b Balingen","Raiffbk Geislingen-Rosenf","GENODES1GEI","base.de"
"65370024","Deutsche Bank Privat und Geschäftskunden","78506","Tuttlingen","Deutsche Bank PGK Tuttlinge","DEUTDEDB603","base.de"
"65370024","Deutsche Bank Privat und Geschäftskunden","72425","Albstadt, Württ","Deutsche Bank PGK Albstadt","DEUTDEDB653","base.de"
"65370024","Deutsche Bank Privat und Geschäftskunden","72302","Balingen","Deutsche Bank PGK Balingen","DEUTDEDB655","base.de"
"65370075","Deutsche Bank","78506","Tuttlingen","Deutsche Bank Tuttlingen","DEUTDESS603","base.de"
